"","Player_Season_Team","Nationality","PC1","PC2","Cluster"
"Aaron Brooks_2011_GST","Aaron Brooks_2011_GST",1,1.53080034548331,4.92904000444475,"1"
"Alan Anderson_2011_SHA","Alan Anderson_2011_SHA",1,3.19145532343409,4.14866759974901,"1"
"Anthony Roberson_2011_FUJ","Anthony Roberson_2011_FUJ",1,2.14374894945805,5.00893107268564,"1"
"Cartier Martin_2011_JIL","Cartier Martin_2011_JIL",1,3.49433086141352,2.81338148263493,"1"
"Charles Gaines_2011_SZD","Charles Gaines_2011_SZD",1,7.85635196643819,-0.733411937006923,"2"
"David Harrison_2011_TIA","David Harrison_2011_TIA",1,4.19130879398347,-2.24621996686516,"3"
"Donnell Harvey_2011_TIA","Donnell Harvey_2011_TIA",1,5.78629146550203,-0.258704971049955,"2"
"Gani Lawal_2011_XIN","Gani Lawal_2011_XIN",1,6.29039359525996,-2.79238918720222,"2"
"J.R. Smith_2011_ZCB","J.R. Smith_2011_ZCB",1,5.43906991180052,4.83842841644585,"1"
"Jackson Vroman_2011_JIA","Jackson Vroman_2011_JIA",1,6.23111923940534,0.0954036384422523,"2"
"Jameel Watkins_2011_JIL","Jameel Watkins_2011_JIL",1,4.92916377671322,-1.93770924880225,"3"
"James Singleton_2011_GST","James Singleton_2011_GST",1,3.69980796244677,-0.741220865803753,"3"
"Josh Akognon_2011_DON","Josh Akognon_2011_DON",1,1.37215448656588,5.55484680764058,"1"
"Josh Boone_2011_ZCB","Josh Boone_2011_ZCB",1,5.39203668601109,-2.21441987199901,"2"
"Josh Powell_2011_LIA","Josh Powell_2011_LIA",1,3.88550726200916,-1.33355626975976,"3"
"Kenyon Martin_2011_XIN","Kenyon Martin_2011_XIN",1,3.1820785396691,-0.889406044291577,"3"
"Lester Hudson_2011_QIN","Lester Hudson_2011_QIN",1,3.14147805772009,6.57695095732742,"1"
"Marcus D. Williams_2011_JIA","Marcus D. Williams_2011_JIA",1,0.888949159424174,2.64739037298441,"4"
"Marcus Douthit_2011_GFD","Marcus Douthit_2011_GFD",1,5.13078273236042,-1.01537311741398,"2"
"Marcus E. Williams_2011_SZD","Marcus E. Williams_2011_SZD",1,5.25601420764502,3.422435842106,"1"
"Marcus Haislip_2011_GFD","Marcus Haislip_2011_GFD",1,3.13241586522727,-0.151375888549652,"3"
"Marcus Landry_2011_SDS","Marcus Landry_2011_SDS",1,2.36260931163957,0.964992297425168,"4"
"Michel Madanly_2011_GFD","Michel Madanly_2011_GFD",1,1.90175342157357,2.52752367066644,"1"
"Mike Harris_2011_SDS","Mike Harris_2011_SDS",1,4.52891557661702,0.263250159689692,"2"
"Olumide Oyedeji_2011_QIN","Olumide Oyedeji_2011_QIN",1,4.11118612111111,-1.57580701898833,"3"
"Othello Hunter_2011_SHA","Othello Hunter_2011_SHA",1,3.26302495925956,-0.453827618257376,"3"
"Patty Mills_2011_XIN","Patty Mills_2011_XIN",1,1.95425693786021,4.74302180047271,"1"
"Peter John Ramos_2011_ZGL","Peter John Ramos_2011_ZGL",1,5.89492823543778,-1.98651982040778,"2"
"Randolph Morris_2011_BSD","Randolph Morris_2011_BSD",1,7.73661857733559,-0.630644332896666,"2"
"Rodney Carney_2011_LIA","Rodney Carney_2011_LIA",1,1.40998982650492,2.59751465398609,"4"
"Rony Fahed_2011_TIA","Rony Fahed_2011_TIA",1,0.571350810359732,3.49840046804459,"4"
"Ryan Forehan-Kelly_2011_SDS","Ryan Forehan-Kelly_2011_SDS",1,1.21285138684607,1.77687027142489,"4"
"Sam Daghles_2011_JIL","Sam Daghles_2011_JIL",1,1.3997053591091,2.86993452222629,"4"
"Sani Sakakini_2011_QIN","Sani Sakakini_2011_QIN",1,2.37032635376508,-1.49580878744441,"3"
"Shavlik Randolph_2011_DON","Shavlik Randolph_2011_DON",1,5.80747530143807,0.115523317575302,"2"
"Stephon Marbury_2011_BSD","Stephon Marbury_2011_BSD",1,4.08673883693173,4.15875346145798,"1"
"Tim Pickett_2011_XIN","Tim Pickett_2011_XIN",1,3.47334930569394,3.98626929088099,"1"
"Will McDonald_2011_FUJ","Will McDonald_2011_FUJ",1,5.135222193764,0.15146255142421,"2"
"Wilson Chandler_2011_ZGL","Wilson Chandler_2011_ZGL",1,5.27219448046534,1.70116589955272,"2"
"Zaid Abbas_2011_FUJ","Zaid Abbas_2011_FUJ",1,3.17890730988159,-0.827538581532067,"3"
"Alexander Johnson_2012_LIA","Alexander Johnson_2012_LIA",1,6.18159519998675,-1.37750059599918,"2"
"Aymard-Caha Walsh_2012_JIA","Aymard-Caha Walsh_2012_JIA",1,-1.25687673936437,0.953380152426995,"5"
