"","Player_Season_Team","Player","Season","Team.x","Height","Weight","MIN","X2PA","X2PM","X2Pm","X2P.","X3PA","X3PM","X3Pm","X3P.","FTA","FT.","FTM","FTm","FTRATE","TOV","AST","STL","BLK","ORB","DRB","PF","USG.","PER","Nationality"
"1","Aaron Brooks_2011_GST","Aaron Brooks",2011,"GST",182.88,"161",30.7,11.5,6.4,5.1,0.557,9.9,4,5.9,0.407,5.2,0.83,4.4,0.8,0.243,4.2,6.2,2.5,0.2,1.2,3.4,4,30.2,23.2,1
"2","Alan Anderson_2011_SHA","Alan Anderson",2011,"SHA",198.12,"220",36,12.3,6,6.3,0.488,9,3.2,5.8,0.355,8.3,0.813,6.7,1.6,0.39,3.6,4.4,2.4,0.1,1.4,4.8,2.3,33.2,23.1,1
"3","Anthony Roberson_2011_FUJ","Anthony Roberson",2011,"FUJ",190.5,"198",31.2,14.1,7,7.1,0.496,13.4,5.3,8.1,0.393,5.5,0.836,4.6,0.9,0.2,2.7,3.2,2.2,0,1.7,5.2,3.4,36.3,26.3,1
"4","Cartier Martin_2011_JIL","Cartier Martin",2011,"JIL",200.66,"220",34.6,15.9,7.8,8.1,0.491,8,2.7,5.3,0.337,8.6,0.807,6.9,1.7,0.36,2.8,1.9,2.2,0.3,1.7,4,3.8,34.8,21.4,1
"5","Charles Gaines_2011_SZD","Charles Gaines",2011,"SZD",203.2,"238",35.3,21.2,13.2,8,0.623,0,0,0,0,10.2,0.652,6.6,3.6,0.481,3.1,1.4,1.7,0.9,5.7,10.4,3.3,32.3,31.8,1
"6","David Harrison_2011_TIA","David Harrison",2011,"TIA",213.36,"254",32.3,12.5,8.1,4.4,0.648,0,0,0,0,5.6,0.565,3.2,2.4,0.448,4.3,2,0.7,1.3,4.1,8.6,4.8,21.9,17.9,1
"7","Donnell Harvey_2011_TIA","Donnell Harvey",2011,"TIA",203.2,"220",36.9,17.8,10.4,7.4,0.584,0.8,0.2,0.6,0.25,6.9,0.761,5.3,1.6,0.371,3.3,3,1.6,0.8,5.4,10.4,3.5,28.1,27.8,1
"8","Gani Lawal_2011_XIN","Gani Lawal",2011,"XIN",205.74,"234",32.3,15.5,9.5,6,0.613,0.1,0,0.1,0,8.2,0.451,3.7,4.5,0.526,3.3,0.6,0.8,1.6,6.8,8.4,4.3,25.8,22.9,1
"9","J.R. Smith_2011_ZCB","J.R. Smith",2011,"ZCB",198.12,"225",36.8,15.8,8.1,7.7,0.513,9.5,4.4,5.1,0.462,10.5,0.758,8,2.5,0.415,4.6,4.5,2.7,0.1,1.3,6.8,3.4,39,30.9,1
"10","Jackson Vroman_2011_JIA","Jackson Vroman",2011,"JIA",208.28,"220",39.7,17.4,9.3,8.1,0.534,1.4,0.5,0.9,0.364,8.7,0.683,6,2.7,0.463,4,3.2,2.4,1.6,3,9,4.7,29.3,23,1
